incident_id,date,severity,service,root_cause,mttr_minutes,customer_impact,environment,resolution,escalation_path,business_impact_summary,postmortem_summary,time_to_resolution_minutes,symptoms
INC-2025-025,2025-11-10,P1,auth-api,Bad migration locked users table 4 min,16,"All writes blocked, reads OK",prod,Completed migration and released lock,NOC → Platform SRE → Service owner → Incident commander → Exec comms,"All writes blocked, reads OK",Root cause: Bad migration locked users table 4 min. Resolution: Completed migration and released lock. TTR 16 min. Escalation: NOC → Platform SRE → Service owner → Incident commander → Exec comms.,16,auth-api degradation in prod
INC-2025-026,2025-11-23,P2,payment-svc,Webhook backlog after PSP recovery,47,Order confirmation delayed up to 30 min,prod,Drained backlog with idempotency keys,NOC → Platform SRE → Service owner,Order confirmation delayed up to 30 min,Root cause: Webhook backlog after PSP recovery. Resolution: Drained backlog with idempotency keys. TTR 47 min. Escalation: NOC → Platform SRE → Service owner.,47,payment-svc degradation in prod
INC-2025-027,2025-12-06,P3,deploy-pipeline,Docker registry quota hit,28,"No customer impact, deploys blocked",prod,Pruned images and raised registry quota,NOC → Service owner (next business day review),"No customer impact, deploys blocked",Root cause: Docker registry quota hit. Resolution: Pruned images and raised registry quota. TTR 28 min. Escalation: NOC → Service owner (next business day review).,28,deploy-pipeline degradation in prod
INC-2025-028,2025-12-19,P1,api-gateway,"DDoS, WAF rate limits insufficient",88,30% of public traffic dropped,prod,Tightened WAF rate limits and enabled shield,NOC → Platform SRE → Service owner → Incident commander → Exec comms,30% of public traffic dropped,"Root cause: DDoS, WAF rate limits insufficient. Resolution: Tightened WAF rate limits and enabled shield. TTR 88 min. Escalation: NOC → Platform SRE → Service owner → Incident commander → Exec comms.",88,api-gateway degradation in prod
INC-2025-029,2026-01-01,P2,auth-api,New year leap-second clock skew,21,Some tokens marked invalid,prod,Synced clocks and re-validated tokens,NOC → Platform SRE → Service owner,Some tokens marked invalid,Root cause: New year leap-second clock skew. Resolution: Synced clocks and re-validated tokens. TTR 21 min. Escalation: NOC → Platform SRE → Service owner.,21,auth-api degradation in prod
INC-2025-030,2026-01-14,P3,monitoring,Prometheus disk near full,17,No customer impact,prod,Expanded Prometheus disk,NOC → Service owner (next business day review),No customer impact,Root cause: Prometheus disk near full. Resolution: Expanded Prometheus disk. TTR 17 min. Escalation: NOC → Service owner (next business day review).,17,monitoring degradation in prod
INC-2026-NJ-001,2026-05-18,P2,postgres,Long-running analytics query saturated CPU on nj-db-primary-01,38,Settlement batch delays up to 12 min in NJ-DGE,NJ-DGE,Cancelled the long analytics query and added a covering index,NOC → Platform SRE → Service owner,Settlement batch delays up to 12 min in NJ-DGE,Root cause: Long-running analytics query saturated CPU on nj-db-primary-01. Resolution: Cancelled the long analytics query and added a covering index. TTR 38 min. Escalation: NOC → Platform SRE → Service owner.,38,postgres degradation in NJ-DGE
INC-2026-NJ-002,2026-05-22,P2,postgres,Replica lag 45s after primary CPU spike,29,Read-after-write issues on reporting,NJ-DGE,Reduced primary load and replica caught up,NOC → Platform SRE → Service owner,Read-after-write issues on reporting,Root cause: Replica lag 45s after primary CPU spike. Resolution: Reduced primary load and replica caught up. TTR 29 min. Escalation: NOC → Platform SRE → Service owner.,29,postgres degradation in NJ-DGE
INC-2026-NJ-003,2026-06-01,P2,postgres,Connection pool exhausted on checkout-api after deploy,52,Checkout timeouts 8% for 45 min NJ-DGE,NJ-DGE,Rolled back the deploy and cleared idle-in-transaction sessions,NOC → Platform SRE → Service owner,Checkout timeouts 8% for 45 min NJ-DGE,Root cause: Connection pool exhausted on checkout-api after deploy. Resolution: Rolled back the deploy and cleared idle-in-transaction sessions. TTR 52 min. Escalation: NOC → Platform SRE → Service owner.,52,postgres degradation in NJ-DGE
INC-2026-GIB-001,2026-01-22,P1,bet-service,DB connection exhaustion after dependency timeout caused bet-service nodes unresponsive,12,100% bet placement error rate on GIB-UKGC for 12 min,GIB-UKGC,Restarted service and added connection pool circuit breaker,NOC → Platform SRE → Service owner → Incident commander → Exec comms,100% bet placement error rate on GIB-UKGC for 12 min,Root cause: DB connection exhaustion after dependency timeout caused bet-service nodes unresponsive. Resolution: Restarted service and added connection pool circuit breaker. TTR 12 min. Escalation: NOC → Platform SRE → Service owner → Incident commander → Exec comms.,12,bet-service degradation in GIB-UKGC
INC-2026-GIB-002,2026-05-12,P2,bet-service,Failed deploy caused 5xx spike on bet-service,15,5xx rate above 10% immediately after deploy,GIB-UKGC,Rolled back to previous version and redeployed with schema migration fix,NOC → Platform SRE → Service owner,5xx rate above 10% immediately after deploy,Root cause: Failed deploy caused 5xx spike on bet-service. Resolution: Rolled back to previous version and redeployed with schema migration fix. TTR 15 min. Escalation: NOC → Platform SRE → Service owner.,15,bet-service degradation in GIB-UKGC
