alert_id,seconds_offset,timestamp,environment,service,severity,title,status,source,metric_name,metric_value,metric_unit,threshold,affected_users,error_rate_pct,pattern_key,is_duplicate_candidate,is_noise_candidate,correlation_id,incident_candidate_id,is_trigger
ALT-2026-06-10-0054,36,2026-06-10T10:00:36Z,GIB-UKGC,wallet-service,P4,wallet-service cache hit rate changed to 77.2%,active,Prometheus,cache_hit_rate,77.2,%,warning,0,0.0,GIB-UKGC:wallet-service:cache_hit_rate,true,true,CORRGIBUKGCWALLETSERVICE,INC-CAND-WAL-GIB-000,false
ALT-2026-06-10-0055,36,2026-06-10T10:00:36Z,MGM,bet-service,P4,TLS handshake duration elevated for bet-service: 220ms,active,CloudWatch,tls_handshake,220,ms,warning,0,0.0,MGM:bet-service:tls_handshake,true,true,CORRMGMBETSERVICE,INC-CAND-BET-MGM-001,false
ALT-2026-06-10-0056,37,2026-06-10T10:00:37Z,NJ-DGE,game-service,P4,TLS handshake duration elevated for game-service: 423ms,active,SyntheticCheck,tls_handshake,423,ms,warning,0,0.0,NJ-DGE:game-service:tls_handshake,true,true,CORRNJDGEGAMESERVICE,INC-CAND-GAM-NJ--002,false
ALT-2026-06-10-0057,37,2026-06-10T10:00:37Z,MGM,promotion-engine,P2,promotion-engine circuit breaker tripped briefly,active,PITER-Monitor,circuit_breaker,1,event,major,1500,1.65,MGM:promotion-engine:circuit_breaker,false,false,CORRMGMPROMOTIONENGINE,INC-CAND-PRO-MGM-003,false
ALT-2026-06-10-0058,38,2026-06-10T10:00:38Z,MGM,promotion-engine,P4,Background job queue delay on promotion-engine: 46.4s,active,Prometheus,background_job_delay,46.4,s,warning,0,0.0,MGM:promotion-engine:background_job_delay,true,true,CORRMGMPROMOTIONENGINE,INC-CAND-PRO-MGM-004,false
ALT-2026-06-10-0059,38,2026-06-10T10:00:38Z,MGM,game-service,P4,game-service memory utilization at 91.5%,active,Grafana,memory_utilization,91.5,%,warning,0,0.0,MGM:game-service:memory_utilization,false,true,CORRMGMGAMESERVICE,INC-CAND-GAM-MGM-005,false
ALT-2026-06-10-0060,40,2026-06-10T10:00:40Z,MIRAGE,bet-service,P3,Connection pool pressure on bet-service: 81.0%,active,Grafana,connection_pool,81.0,%,degraded,32000,1.1,MIRAGE:bet-service:connection_pool,false,false,CORRMIRAGEBETSERVICE,INC-CAND-BET-MIR-006,false
ALT-2026-06-10-0061,40,2026-06-10T10:00:40Z,MGM,payments-service,P3,Replication lag on payments-service: 17.5s,active,SyntheticCheck,replication_lag,17.5,s,degraded,1500,1.26,MGM:payments-service:replication_lag,false,false,CORRMGMPAYMENTSSERVICE,INC-CAND-PAY-MGM-007,false
ALT-2026-06-10-0062,40,2026-06-10T10:00:40Z,NJ-DGE,payments-service,P4,Health check warning: payments-service response time 812ms,active,PITER-Monitor,health_latency,812,ms,warning,0,0.0,NJ-DGE:payments-service:health_latency,true,true,CORRNJDGEPAYMENTSSERVICE,INC-CAND-PAY-NJ--008,false
ALT-2026-06-10-0063,41,2026-06-10T10:00:41Z,MIRAGE,wallet-service,P4,wallet-service memory utilization at 85.7%,active,CloudWatch,memory_utilization,85.7,%,warning,0,0.0,MIRAGE:wallet-service:memory_utilization,true,true,CORRMIRAGEWALLETSERVICE,INC-CAND-WAL-MIR-000,false
ALT-2026-06-10-0064,41,2026-06-10T10:00:41Z,MIRAGE,game-service,P3,Connection pool pressure on game-service: 97.6%,active,CloudWatch,connection_pool,97.6,%,degraded,800,1.3,MIRAGE:game-service:connection_pool,false,false,CORRMIRAGEGAMESERVICE,INC-CAND-GAM-MIR-001,false
ALT-2026-06-10-0065,43,2026-06-10T10:00:43Z,GIB-UKGC,auth-service,P2,External provider latency impacting auth-service: 5.8s,active,Prometheus,provider_latency,5.8,s,major,4500,1.73,GIB-UKGC:auth-service:provider_latency,true,false,CORRGIBUKGCAUTHSERVICE,INC-CAND-AUT-GIB-002,false
ALT-2026-06-10-0066,44,2026-06-10T10:00:44Z,MIRAGE,game-service,P4,game-service disk usage at 78.0%,active,Grafana,disk_usage,78.0,%,warning,0,0.0,MIRAGE:game-service:disk_usage,true,true,CORRMIRAGEGAMESERVICE,INC-CAND-GAM-MIR-003,false
ALT-2026-06-10-0067,46,2026-06-10T10:00:46Z,MIRAGE,redis-token-store,P4,Health check warning: redis-token-store response time 626ms,active,SyntheticCheck,health_latency,626,ms,warning,0,0.0,MIRAGE:redis-token-store:health_latency,true,true,CORRMIRAGEREDISTOKENSTOR,INC-CAND-RED-MIR-004,false
ALT-2026-06-10-0068,47,2026-06-10T10:00:47Z,GIB-UKGC,redis-token-store,P4,Health check warning: redis-token-store response time 772ms,active,SyntheticCheck,health_latency,772,ms,warning,0,0.0,GIB-UKGC:redis-token-store:health_latency,false,true,CORRGIBUKGCREDISTOKENSTO,INC-CAND-RED-GIB-005,false
ALT-2026-06-10-0069,47,2026-06-10T10:00:47Z,MIRAGE,auth-service,P4,auth-service memory utilization at 76.3%,active,Prometheus,memory_utilization,76.3,%,warning,0,0.0,MIRAGE:auth-service:memory_utilization,true,true,CORRMIRAGEAUTHSERVICE,INC-CAND-AUT-MIR-006,false
ALT-2026-06-10-0070,47,2026-06-10T10:00:47Z,GIB-UKGC,promotion-engine,P4,TLS handshake duration elevated for promotion-engine: 433ms,active,PITER-Monitor,tls_handshake,433,ms,warning,0,0.0,GIB-UKGC:promotion-engine:tls_handshake,true,true,CORRGIBUKGCPROMOTIONENGI,INC-CAND-PRO-GIB-007,false
ALT-2026-06-10-0071,47,2026-06-10T10:00:47Z,GIB-UKGC,auth-service,P4,auth-service cache hit rate changed to 78.1%,active,GuardDuty,cache_hit_rate,78.1,%,warning,0,0.0,GIB-UKGC:auth-service:cache_hit_rate,true,true,CORRGIBUKGCAUTHSERVICE,INC-CAND-AUT-GIB-008,false
ALT-2026-06-10-0072,48,2026-06-10T10:00:48Z,MGM,wallet-service,P4,Background job queue delay on wallet-service: 46.2s,active,Grafana,background_job_delay,46.2,s,warning,0,0.0,MGM:wallet-service:background_job_delay,false,true,CORRMGMWALLETSERVICE,INC-CAND-WAL-MGM-000,false
ALT-2026-06-10-0073,49,2026-06-10T10:00:49Z,GIB-UKGC,promotion-engine,P4,TLS handshake duration elevated for promotion-engine: 235ms,active,CloudWatch,tls_handshake,235,ms,warning,0,0.0,GIB-UKGC:promotion-engine:tls_handshake,true,true,CORRGIBUKGCPROMOTIONENGI,INC-CAND-PRO-GIB-001,false
ALT-2026-06-10-0074,49,2026-06-10T10:00:49Z,GIB-UKGC,payments-service,P2,payments-service circuit breaker tripped briefly,active,SyntheticCheck,circuit_breaker,1,event,major,0,3.49,GIB-UKGC:payments-service:circuit_breaker,false,false,CORRGIBUKGCPAYMENTSSERVI,INC-CAND-PAY-GIB-002,false
ALT-2026-06-10-0075,50,2026-06-10T10:00:50Z,GIB-UKGC,game-service,P4,game-service memory utilization at 79.8%,active,PITER-Monitor,memory_utilization,79.8,%,warning,0,0.0,GIB-UKGC:game-service:memory_utilization,true,true,CORRGIBUKGCGAMESERVICE,INC-CAND-GAM-GIB-003,false
ALT-2026-06-10-0076,50,2026-06-10T10:00:50Z,NJ-DGE,auth-service,P4,TLS handshake duration elevated for auth-service: 410ms,active,Prometheus,tls_handshake,410,ms,warning,0,0.0,NJ-DGE:auth-service:tls_handshake,true,true,CORRNJDGEAUTHSERVICE,INC-CAND-AUT-NJ--004,false
ALT-2026-06-10-0077,51,2026-06-10T10:00:51Z,GIB-UKGC,auth-service,P4,TLS handshake duration elevated for auth-service: 395ms,active,Prometheus,tls_handshake,395,ms,warning,0,0.0,GIB-UKGC:auth-service:tls_handshake,true,true,CORRGIBUKGCAUTHSERVICE,INC-CAND-AUT-GIB-005,false
ALT-2026-06-10-0078,51,2026-06-10T10:00:51Z,NJ-DGE,auth-service,P4,auth-service cache hit rate changed to 75.5%,active,Grafana,cache_hit_rate,75.5,%,warning,0,0.0,NJ-DGE:auth-service:cache_hit_rate,true,true,CORRNJDGEAUTHSERVICE,INC-CAND-AUT-NJ--006,false
ALT-2026-06-10-0079,52,2026-06-10T10:00:52Z,MGM,promotion-engine,P4,Background job queue delay on promotion-engine: 45.5s,active,PITER-Monitor,background_job_delay,45.5,s,warning,0,0.0,MGM:promotion-engine:background_job_delay,true,true,CORRMGMPROMOTIONENGINE,INC-CAND-PRO-MGM-007,false
ALT-2026-06-10-0080,52,2026-06-10T10:00:52Z,MIRAGE,game-service,P4,Background job queue delay on game-service: 44.8s,active,GuardDuty,background_job_delay,44.8,s,warning,0,0.0,MIRAGE:game-service:background_job_delay,true,true,CORRMIRAGEGAMESERVICE,INC-CAND-GAM-MIR-008,false
ALT-2026-06-10-0081,52,2026-06-10T10:00:52Z,GIB-UKGC,promotion-engine,P4,promotion-engine disk usage at 76.9%,active,GuardDuty,disk_usage,76.9,%,warning,0,0.0,GIB-UKGC:promotion-engine:disk_usage,true,true,CORRGIBUKGCPROMOTIONENGI,INC-CAND-PRO-GIB-000,false
ALT-2026-06-10-0082,53,2026-06-10T10:00:53Z,GIB-UKGC,game-service,P2,game-service circuit breaker tripped briefly,active,SyntheticCheck,circuit_breaker,1,event,major,1500,0.33,GIB-UKGC:game-service:circuit_breaker,false,false,CORRGIBUKGCGAMESERVICE,INC-CAND-GAM-GIB-001,false
ALT-2026-06-10-0083,54,2026-06-10T10:00:54Z,MGM,promotion-engine,P2,Failed transaction rate on promotion-engine: 7.0%,active,CloudWatch,transaction_failure,7.0,%,major,1500,1.22,MGM:promotion-engine:transaction_failure,false,false,CORRMGMPROMOTIONENGINE,INC-CAND-PRO-MGM-002,false
ALT-2026-06-10-0084,54,2026-06-10T10:00:54Z,GIB-UKGC,auth-service,P4,Background job queue delay on auth-service: 45.7s,active,GuardDuty,background_job_delay,45.7,s,warning,0,0.0,GIB-UKGC:auth-service:background_job_delay,true,true,CORRGIBUKGCAUTHSERVICE,INC-CAND-AUT-GIB-003,false
ALT-2026-06-10-0085,55,2026-06-10T10:00:55Z,NJ-DGE,replication,P4,replication memory utilization at 90.4%,active,GuardDuty,memory_utilization,90.4,%,warning,0,0.0,NJ-DGE:replication:memory_utilization,true,true,CORRNJDGEREPLICATION,INC-CAND-REP-NJ--004,false
ALT-2026-06-10-0086,55,2026-06-10T10:00:55Z,MGM,auth-service,P4,TLS handshake duration elevated for auth-service: 456ms,active,GuardDuty,tls_handshake,456,ms,warning,0,0.0,MGM:auth-service:tls_handshake,false,true,CORRMGMAUTHSERVICE,INC-CAND-AUT-MGM-005,false
ALT-2026-06-10-0087,56,2026-06-10T10:00:56Z,MGM,promotion-engine,P4,Background job queue delay on promotion-engine: 46.2s,active,PITER-Monitor,background_job_delay,46.2,s,warning,0,0.0,MGM:promotion-engine:background_job_delay,true,true,CORRMGMPROMOTIONENGINE,INC-CAND-PRO-MGM-006,false
