incident_id,title,service,environment,severity,start_time,end_time,symptoms,root_cause,resolution,mttr_minutes,affected_users,business_impact_usd,lessons_learned,related_runbook
INC-2025-11-04-GIB-BET-OUTAGE,bet-service 100% error rate after connection-pool saturation,bet-service,GIB-UKGC,P1,2025-11-04T19:12:00Z,2025-11-04T19:39:00Z,100% bet placement failures|nodes unresponsive|connection pool exhausted,Connection pool exhaustion caused by retry storm against wallet dependency,"Disabled retry fan-out, restarted bet-service pool, validated wallet latency, monitored bet placement success",27,29500,264600,Gate retries with circuit breaker and alert on pool saturation before node exhaustion,deployment_rollback.json
INC-2025-0013,wallet-service latency spike in MIRAGE,wallet-service,MIRAGE,P3,2025-07-16T17:00:00Z,2025-07-16T18:53:00Z,cache hit rate drop|token validation failures,Provider throttling,Disabled feature flag and monitored recovery,113,1500,229329,Improve pre-deploy checks,deployment_rollback.json
INC-2025-0014,redis-token-store latency spike in NJ-DGE,redis-token-store,NJ-DGE,P4,2025-11-06T23:00:00Z,2025-11-07T00:23:00Z,cache hit rate drop|token validation failures,Dependency latency,Updated connection limits and restarted service,83,4500,200765,Add earlier saturation alert,redis_token_store_degradation.json
INC-2025-0015,wallet-service latency spike in MGM,wallet-service,MGM,P4,2026-01-10T04:00:00Z,2026-01-10T04:08:00Z,5xx spike|latency p95 increase,Provider throttling,Rolled back deployment and verified health,8,4500,171585,Add earlier saturation alert,deployment_rollback.json
INC-2025-0016,replication resource saturation in MIRAGE,replication,MIRAGE,P3,2026-03-28T06:00:00Z,2026-03-28T07:02:00Z,connection pool pressure|slow queries,Provider throttling,Disabled feature flag and monitored recovery,62,0,95851,Update runbook with validation steps,database_connectivity.json
INC-2025-0017,redis-token-store error-rate increase in NJ-DGE,redis-token-store,NJ-DGE,P4,2025-08-11T17:00:00Z,2025-08-11T18:09:00Z,connection pool pressure|slow queries,Provider throttling,Disabled feature flag and monitored recovery,69,1500,80387,Update runbook with validation steps,redis_token_store_degradation.json
INC-2025-0018,redis-token-store error-rate increase in NJ-DGE,redis-token-store,NJ-DGE,P2,2026-01-23T20:00:00Z,2026-01-23T21:48:00Z,5xx spike|latency p95 increase,Dependency latency,Disabled feature flag and monitored recovery,108,1500,209939,Improve pre-deploy checks,redis_token_store_degradation.json
INC-2025-0019,auth-service dependency timeout in MIRAGE,auth-service,MIRAGE,P2,2026-04-05T06:00:00Z,2026-04-05T07:08:00Z,5xx spike|latency p95 increase,Bad deployment configuration,Updated connection limits and restarted service,68,800,97212,Improve pre-deploy checks,auth_service_login_failure.json
INC-2025-0020,bet-service resource saturation in MIRAGE,bet-service,MIRAGE,P4,2025-07-10T14:00:00Z,2025-07-10T15:14:00Z,5xx spike|latency p95 increase,Dependency latency,Disabled feature flag and monitored recovery,74,4500,2807,Add earlier saturation alert,deployment_rollback.json
INC-2025-0021,game-service error-rate increase in NJ-DGE,game-service,NJ-DGE,P2,2025-07-18T18:00:00Z,2025-07-18T19:14:00Z,queue depth elevated|timeouts,Bad deployment configuration,Updated connection limits and restarted service,74,800,171709,Improve pre-deploy checks,deployment_rollback.json
INC-2025-0022,auth-service dependency timeout in GIB-UKGC,auth-service,GIB-UKGC,P3,2025-10-28T23:00:00Z,2025-10-29T00:33:00Z,cache hit rate drop|token validation failures,Provider throttling,Scaled workers and cleared queue,93,50000,4028,Improve pre-deploy checks,auth_service_login_failure.json
INC-2025-0023,wallet-service error-rate increase in MGM,wallet-service,MGM,P3,2025-11-25T02:00:00Z,2025-11-25T02:36:00Z,cache hit rate drop|token validation failures,Insufficient retry backoff,Rolled back deployment and verified health,36,1500,45884,Add dashboard correlation panel,deployment_rollback.json
INC-2025-0024,wallet-service resource saturation in GIB-UKGC,wallet-service,GIB-UKGC,P3,2025-11-28T07:00:00Z,2025-11-28T08:50:00Z,connection pool pressure|slow queries,Insufficient retry backoff,Disabled feature flag and monitored recovery,110,12000,126780,Add earlier saturation alert,deployment_rollback.json
INC-2025-0025,replication latency spike in MIRAGE,replication,MIRAGE,P4,2025-07-25T10:00:00Z,2025-07-25T11:09:00Z,connection pool pressure|slow queries,Bad deployment configuration,Disabled feature flag and monitored recovery,69,800,177448,Add earlier saturation alert,database_connectivity.json
INC-2025-0026,replication resource saturation in MIRAGE,replication,MIRAGE,P3,2025-08-29T17:00:00Z,2025-08-29T17:09:00Z,queue depth elevated|timeouts,Database connection contention,Rolled back deployment and verified health,9,4500,176605,Update runbook with validation steps,database_connectivity.json
INC-2025-0027,wallet-service resource saturation in NJ-DGE,wallet-service,NJ-DGE,P4,2025-12-11T23:00:00Z,2025-12-11T23:35:00Z,queue depth elevated|timeouts,Dependency latency,Disabled feature flag and monitored recovery,35,800,61567,Add earlier saturation alert,deployment_rollback.json
INC-2025-0028,game-service resource saturation in NJ-DGE,game-service,NJ-DGE,P3,2026-02-07T03:00:00Z,2026-02-07T04:55:00Z,queue depth elevated|timeouts,Bad deployment configuration,Rolled back deployment and verified health,115,0,177160,Add dashboard correlation panel,deployment_rollback.json
INC-2025-0029,bet-service dependency timeout in GIB-UKGC,bet-service,GIB-UKGC,P4,2025-11-11T15:00:00Z,2025-11-11T15:48:00Z,connection pool pressure|slow queries,Insufficient retry backoff,Scaled workers and cleared queue,48,32000,73470,Add dashboard correlation panel,deployment_rollback.json
INC-2025-0030,payments-service latency spike in NJ-DGE,payments-service,NJ-DGE,P2,2025-08-24T21:00:00Z,2025-08-24T22:09:00Z,connection pool pressure|slow queries,Insufficient retry backoff,Scaled workers and cleared queue,69,4500,31553,Add dashboard correlation panel,deployment_rollback.json
INC-2025-0031,replication latency spike in GIB-UKGC,replication,GIB-UKGC,P2,2025-06-10T04:00:00Z,2025-06-10T04:56:00Z,connection pool pressure|slow queries,Database connection contention,Updated connection limits and restarted service,56,800,143802,Update runbook with validation steps,database_connectivity.json
INC-2025-0032,payments-service error-rate increase in MGM,payments-service,MGM,P4,2025-07-12T00:00:00Z,2025-07-12T00:54:00Z,cache hit rate drop|token validation failures,Insufficient retry backoff,Scaled workers and cleared queue,54,4500,183687,Update runbook with validation steps,deployment_rollback.json
INC-2025-0033,replication error-rate increase in MIRAGE,replication,MIRAGE,P3,2025-10-03T05:00:00Z,2025-10-03T06:21:00Z,queue depth elevated|timeouts,Bad deployment configuration,Updated connection limits and restarted service,81,800,145579,Add dashboard correlation panel,database_connectivity.json
INC-2025-0034,redis-token-store latency spike in NJ-DGE,redis-token-store,NJ-DGE,P3,2025-05-08T06:00:00Z,2025-05-08T07:08:00Z,queue depth elevated|timeouts,Insufficient retry backoff,Disabled feature flag and monitored recovery,68,800,234165,Update runbook with validation steps,redis_token_store_degradation.json
