deploy_id,timestamp,environment,service,version,deployer,status,change_summary,risk_level,rollback_available,rollback_version,related_ticket
DEP-2026-06-025,2026-06-04T19:48:00Z,MGM,game-service,v4.9.2,jenkins-prod,rolled_back,Database connection pool tuning,low,false,v4.10.3,REL-2026-1044
DEP-2026-06-026,2026-06-09T10:02:00Z,GIB-UKGC,bet-service,v5.15.2,jenkins-prod,rolled_back,Configuration refresh and dependency update,high,false,v1.8.3,REL-2026-8483
DEP-2026-06-027,2026-06-07T13:31:00Z,GIB-UKGC,game-service,v1.5.0,github-actions,success,Feature flag rollout,medium,false,v1.3.0,REL-2026-1158
DEP-2026-06-028,2026-06-03T11:50:00Z,MGM,auth-service,v3.14.9,github-actions,success,Feature flag rollout,medium,true,v1.12.6,REL-2026-8479
DEP-2026-06-029,2026-06-06T06:16:00Z,MIRAGE,game-service,v4.20.2,jenkins-prod,success,Configuration refresh and dependency update,low,true,v4.18.7,REL-2026-8178
DEP-2026-06-030,2026-06-03T20:36:00Z,MGM,auth-service,v5.0.2,github-actions,failed,Configuration refresh and dependency update,medium,true,v1.2.4,REL-2026-6148
DEP-2026-06-031,2026-06-04T18:11:00Z,NJ-DGE,bet-service,v3.16.8,platform-release-bot,rolled_back,Configuration refresh and dependency update,medium,false,v2.15.5,REL-2026-7305
DEP-2026-06-032,2026-06-04T10:03:00Z,GIB-UKGC,auth-service,v1.20.2,platform-release-bot,failed,Database connection pool tuning,low,true,v4.10.3,REL-2026-6421
DEP-2026-06-033,2026-06-09T20:28:00Z,NJ-DGE,game-service,v5.20.6,github-actions,success,Configuration refresh and dependency update,medium,true,v5.14.1,REL-2026-9166
DEP-2026-06-034,2026-06-07T00:53:00Z,MIRAGE,promotion-engine,v1.3.6,github-actions,success,Security patch and library upgrade,high,true,v1.19.9,REL-2026-5990
DEP-2026-06-035,2026-06-03T09:18:00Z,MIRAGE,payments-service,v3.11.0,jenkins-prod,failed,Feature flag rollout,high,false,v5.15.5,REL-2026-8414
DEP-2026-06-036,2026-06-09T08:12:00Z,NJ-DGE,wallet-service,v1.10.5,platform-release-bot,success,Security patch and library upgrade,high,true,v1.1.2,REL-2026-9067
DEP-2026-06-037,2026-06-06T00:54:00Z,MGM,auth-service,v5.6.3,jenkins-prod,failed,Performance optimization for high-volume traffic,medium,true,v3.3.6,REL-2026-1761
DEP-2026-06-038,2026-06-05T13:31:00Z,NJ-DGE,wallet-service,v4.0.8,platform-release-bot,success,Security patch and library upgrade,medium,false,v4.16.2,REL-2026-3845
DEP-2026-06-039,2026-06-09T06:36:00Z,MGM,auth-service,v5.12.6,platform-release-bot,success,Feature flag rollout,medium,true,v3.14.2,REL-2026-3263
DEP-2026-06-040,2026-06-03T22:16:00Z,MGM,redis-token-store,v5.10.8,platform-release-bot,success,Performance optimization for high-volume traffic,low,false,v3.11.2,REL-2026-3913
DEP-2026-06-041,2026-06-09T03:12:00Z,MGM,replication,v5.15.9,platform-release-bot,failed,Security patch and library upgrade,medium,true,v1.16.1,REL-2026-1414
DEP-2026-06-042,2026-06-08T19:57:00Z,GIB-UKGC,redis-token-store,v2.8.2,github-actions,success,Performance optimization for high-volume traffic,low,false,v3.6.8,REL-2026-1529
DEP-2026-06-043,2026-06-05T13:54:00Z,NJ-DGE,replication,v5.12.3,platform-release-bot,success,Configuration refresh and dependency update,medium,true,v4.10.8,REL-2026-1881
DEP-2026-06-044,2026-06-07T16:48:00Z,MIRAGE,bet-service,v2.20.5,platform-release-bot,rolled_back,Security patch and library upgrade,low,false,v2.9.7,REL-2026-3906
DEP-2026-06-045,2026-06-08T09:49:00Z,GIB-UKGC,wallet-service,v4.1.6,github-actions,rolled_back,Feature flag rollout,low,true,v5.8.0,REL-2026-6415
DEP-2026-06-046,2026-06-08T17:58:00Z,NJ-DGE,promotion-engine,v3.19.0,platform-release-bot,rolled_back,Feature flag rollout,medium,false,v5.11.1,REL-2026-6207
DEP-2026-06-047,2026-06-08T09:27:00Z,GIB-UKGC,payments-service,v5.5.6,platform-release-bot,rolled_back,Database connection pool tuning,low,true,v2.6.5,REL-2026-6424
DEP-2026-06-048,2026-06-07T05:47:00Z,MIRAGE,replication,v5.20.0,jenkins-prod,success,Database connection pool tuning,low,false,v5.19.3,REL-2026-1653
DEP-2026-06-049,2026-06-06T07:02:00Z,GIB-UKGC,replication,v4.8.8,platform-release-bot,success,Configuration refresh and dependency update,high,true,v5.16.7,REL-2026-8975
DEP-2026-06-050,2026-06-07T05:03:00Z,NJ-DGE,bet-service,v3.16.1,jenkins-prod,success,Security patch and library upgrade,high,true,v1.6.3,REL-2026-7950
DEP-2026-06-051,2026-06-08T04:26:00Z,MIRAGE,wallet-service,v1.4.0,github-actions,success,Configuration refresh and dependency update,low,true,v1.5.4,REL-2026-2154
DEP-2026-06-052,2026-06-07T14:34:00Z,MIRAGE,payments-service,v4.20.6,github-actions,success,Configuration refresh and dependency update,medium,false,v1.17.0,REL-2026-2036
DEP-2026-06-053,2026-06-09T14:38:00Z,GIB-UKGC,bet-service,v3.9.9,jenkins-prod,success,Database connection pool tuning,medium,true,v1.15.2,REL-2026-9740
DEP-2026-06-054,2026-06-08T22:13:00Z,MIRAGE,payments-service,v5.9.2,github-actions,success,Configuration refresh and dependency update,high,false,v2.3.0,REL-2026-1082
DEP-2026-06-055,2026-06-04T15:25:00Z,GIB-UKGC,redis-token-store,v3.6.5,jenkins-prod,failed,Security patch and library upgrade,low,true,v2.7.9,REL-2026-5140
DEP-2026-06-056,2026-06-09T03:49:00Z,GIB-UKGC,payments-service,v5.14.8,jenkins-prod,success,Configuration refresh and dependency update,medium,true,v2.18.7,REL-2026-6420
DEP-2026-06-057,2026-06-09T00:18:00Z,NJ-DGE,replication,v1.9.9,jenkins-prod,success,Feature flag rollout,medium,true,v3.19.4,REL-2026-3496
DEP-2026-06-058,2026-06-07T00:33:00Z,NJ-DGE,replication,v1.10.3,jenkins-prod,failed,Feature flag rollout,medium,true,v3.15.7,REL-2026-8296
DEP-2026-06-059,2026-06-07T02:29:00Z,GIB-UKGC,replication,v2.20.9,jenkins-prod,success,Performance optimization for high-volume traffic,high,true,v3.20.1,REL-2026-2235
